1,517,222,375,220,400,40,0.465,1
2,517,223,392,490,400,40,0.623,1
3,517,471,397,310,220,40,0.601,1
4,517,299,219,220,220,40,0.532,1
5,517,215,222,310,310,40,0.485,1
6,517,304,325,220,490,40,0.519,1
7,517,223,508,310,490,40,0.614,1
8,517,315,492,490,400,40,0.504,1
9,517,480,395,400,310,40,0.499,1
10,517,410,326,400,400,40,0.464,1
11,517,385,428,400,310,40,0.469,1
12,517,389,305,400,400,40,0.484,1
13,517,392,409,310,220,40,0.616,1
14,517,297,248,310,490,40,0.549,1
15,517,294,500,400,310,40,0.565,1
16,517,406,322,310,490,40,0.503,1
17,517,305,483,400,220,40,0.682,1
18,517,378,233,310,490,40,0.549,1
19,517,316,462,490,310,40,0.549,1
20,517,483,292,220,310,40,0.568,1
21,517,238,287,400,490,40,0.585,1
22,517,386,480,310,490,40,0.533,1
23,517,335,490,220,220,40,0.648,1
24,517,234,232,310,310,40,0.484,1
25,517,306,324,490,310,40,0.567,1
26,517,449,344,220,490,40,0.600,1
27,517,200,520,310,220,40,0.784,1
28,517,302,251,220,400,40,0.584,1
29,517,250,379,490,490,40,0.681,1
30,517,510,506,310,400,40,0.620,1
31,517,293,398,220,490,40,0.564,1
32,517,239,491,400,220,40,0.618,1
33,517,417,214,310,220,40,0.516,1
34,517,322,216,400,490,40,0.569,1
35,517,414,469,490,490,40,0.564,1
36,517,469,488,400,310,40,0.601,1
37,517,397,307,220,310,40,0.531,1
38,517,200,313,400,400,40,0.616,1
39,517,395,397,400,310,40,0.500,1
40,517,407,305,400,220,40,0.519,1
41,517,413,219,220,220,40,0.601,1
42,517,224,235,400,220,40,0.517,1
43,517,423,252,310,220,40,0.532,1
44,517,293,240,310,310,40,0.466,1
45,517,292,338,490,220,40,0.548,1
46,517,508,225,310,490,40,0.688,1
47,517,330,497,310,400,40,0.532,1
48,517,301,426,220,220,40,0.531,1
49,517,227,234,490,310,40,0.568,1
50,517,488,320,220,400,40,0.552,1
51,517,228,407,220,310,40,0.497,1
52,517,233,320,490,220,40,0.566,1
53,517,464,252,400,400,40,0.487,1
54,517,382,395,220,310,40,0.566,1
55,517,219,316,490,490,40,0.565,1
56,517,503,479,220,490,40,0.537,1
57,517,224,494,490,310,40,0.733,1
58,517,510,324,220,310,40,0.565,1
59,517,200,302,310,400,40,0.468,1
60,517,314,386,400,310,40,0.464,1
61,517,398,302,490,490,40,0.600,1
